id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Automatic Generation of Bug Reports Using Large Language Models: An Evaluation in a Software Institute,"Chaves, Lennon Correa; Gonzaga, David; Tiago, Leonardo; Silva, Ana Paula; Oliveira, Flávia",2025,Brazilian Symposium on Software Quality,String A,INCLUDE,"Matches P/I/O: LLM/ChatGPT with bug report quality, reproduction, assessment, improvement, or generation.",INCLUDE,Included: related to LLM-based bug report generation/summarization/knowledge with empirical evaluation relevant to report quality.
2,Exploring Fine-Grained Bug Report Categorization with Large Language Models and Prompt Engineering: An Empirical Study,"Koyuncu, Anil",2025,ACM Transactions on Software Engineering and Methodology,String A,INCLUDE,Matches P/I partially: LLM/ChatGPT applied to bug report analysis/classification/detection; keep for full-text screening.,INCLUDE,Included: relevant LLM-based bug report study with empirical evaluation.
3,ChatBR: Automated Assessment and Improvement of Bug Report Quality Using ChatGPT,"Bo, Lili; Ji, Wangjie; Sun, Xiaobing; Zhang, Ting; Wu, Xiaoxue; Wei, Ying",2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),String B,INCLUDE,"Matches P/I/O: LLM/ChatGPT with bug report quality, reproduction, assessment, improvement, or generation.",INCLUDE,"Included: directly related to LLM-based bug report/report quality assessment, improvement, or evaluation."
4,Can We Enhance Bug Report Quality Using LLMs?: An Empirical Study of LLM-Based Bug Report Generation,"Acharya, Jagrit; Ginde, Gouri",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String B,INCLUDE,"Matches P/I/O: LLM/ChatGPT with bug report quality, reproduction, assessment, improvement, or generation.",INCLUDE,"Included: directly related to LLM-based bug report/report quality assessment, improvement, or evaluation."
5,Graph Neural Network vs. Large Language Model: A Comparative Analysis for Bug Report Priority and Severity Prediction,"Acharya, Jagrit; Ginde, Gouri",2024,Proceedings of the 20th International Conference on Predictive Models and Data Analytics in Software Engineering,String A,INCLUDE,Matches P/I partially: LLM/ChatGPT applied to bug report analysis/classification/detection; keep for full-text screening.,INCLUDE,Included: Replacement paper with accessible author PDF; compares LLM with GNN for bug report priority and severity prediction.
6,Cupid: Leveraging ChatGPT for More Accurate Duplicate Bug Report Detection,"Zhang, Ting; Irsan, Ivana Clairine; Thung, Ferdian; Lo, David",2023,ArXiv,String A,INCLUDE,Matches P/I partially: LLM/ChatGPT applied to bug report analysis/classification/detection; keep for full-text screening.,INCLUDE,Included: Replacement paper with accessible arXiv PDF; ChatGPT is used to extract essential bug-report information for duplicate bug report detection.
7,Feedback-Driven Automated Whole Bug Report Reproduction for Android Apps,"Wang, Dingbang; Zhao, Yu; Feng, Sidong; Zhang, Zhaoxu; Halfond, William G. J.; Chen, Chunyang; Sun, Xiaoxi-ang; Shi, Jiangfan; Yu, Tingting",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,UNSURE,"Related to bug report quality/reproducibility, but LLM use or comparison is unclear from title.",INCLUDE,Included: related to LLM/GPT-based bug report reproduction or reproducibility.
8,"Advancing Bug Report Management: Graph-Based Modeling, Large Language Models, and Quality Improvement","Acharya, Jagrit",2025,,String B,INCLUDE,"Matches P/I/O: LLM/ChatGPT with bug report quality, reproduction, assessment, improvement, or generation.",INCLUDE,"Included: directly related to LLM-based bug report/report quality assessment, improvement, or evaluation."
9,AgentReport: A Multi-Agent LLM Approach for Automated and Reproducible Bug Report Generation,"Choi, Seojin; Yang, Geunseok",2025,Applied Sciences,String A,INCLUDE,"Matches P/I/O: LLM/ChatGPT with bug report quality, reproduction, assessment, improvement, or generation.",INCLUDE,Included: related to LLM/GPT-based bug report reproduction or reproducibility.
10,Automated Generation of High-Quality Bug Reports for Android Applications,"Saha, Antu; Dipongkor, Atish Kumar; Bennett, Sam; Moran, Kevin; Marcus, Andrian; Chaparro, Oscar",2026,,String B,UNSURE,"Related to bug report quality/reproducibility, but LLM use or comparison is unclear from title.",INCLUDE,"Included: directly related to LLM-based bug report/report quality assessment, improvement, or evaluation."
