id,title,url,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Automatic Generation of Test Cases based on Bug Reports,https://arxiv.org/abs/2310.06320,String A,INCLUDE,Bug reports + LLM + experiment,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
4,Prompting Is All You Need: Automated Android Bug Replay with Large Language Models,https://arxiv.org/abs/2306.01987,String A,INCLUDE,Bug replay and reproducibility using LLMs,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
5,The Journey to Quality: Understanding and Improving Defect Reporting,https://www.theseus.fi/bitstream/handle/10024/881735/Dahlman_Katja.pdf;jsessionid=2991B19660B55906BCF60F1C78CF3F21?sequence=2,String C,INCLUDE,Directly related to defect reporting quality,EXCLUDE,"EXCLUDE after full-text: discusses defect reporting quality, but not direct LLM assessment of bug-report reproducibility compared with developers."
8,An Analysis of the Automatic Bug Fixing Performance of ChatGPT,https://arxiv.org/abs/2301.08653,String B,UNSURE,Bug fixing related but indirect relation to bug report quality,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
14,Large Language Models for Software Engineering: A Systematic Literature Review,https://arxiv.org/abs/2308.10620,String B,INCLUDE-BG,Background literature review,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
15,A Comparative Study of Contemporary Learning Paradigms in Bug Report Priority Detection,https://doi.org/10.1109/ACCESS.2024.3451125,String B,INCLUDE,Bug report classification and prioritization,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
21,Large Language Models for Software Engineering: Survey and Open Problems,https://arxiv.org/abs/2310.03533,String B,INCLUDE-BG,Background on LLMs in Software Engineering,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
22,Generative Software Engineering,https://arxiv.org/abs/2403.02583,String B,INCLUDE-BG,Background on generative AI in Software Engineering,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
30,THE USE OF LARGE LANGUAGE MODELS TO AUTOMATICALLY CATEGORISE USER FEEDBACK FOR GAMES,https://core.ac.uk/search?q=THE%20USE%20OF%20LARGE%20LANGUAGE%20MODELS%20TO%20AUTOMATICALLY%20CATEGORISE%20USER%20FEEDBACK%20FOR%20GAMES,String D,INCLUDE,LLM + human review + Cohen's Kappa,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
31,Learning Software Bug Reports: A Systematic Literature Review,https://arxiv.org/abs/2507.04422,String D,INCLUDE,Bug report domain review,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
32,Understanding the Low Inter-Rater Agreement on Aggressiveness on the Linux Kernel Mailing List,https://www.sciencedirect.com/science/article/pii/S016412122500007X,String D,UNSURE,Inter-rater agreement but not directly bug report quality,EXCLUDE,"EXCLUDE after full-text: focuses on inter-rater agreement in Linux kernel mailing-list aggressiveness, not bug reports with LLM evaluation."
33,Mining App Reviews to Support Software Engineering,https://www.researchgate.net/publication/362684980_Mining_app_reviews_to_support_software_engineering/download,String D,UNSURE,User feedback mining related to bug reports,EXCLUDE,"EXCLUDE after full-text: focuses on app-review mining/user privacy concerns, not LLM-based bug-report reproducibility assessment."
34,Analysis of Human Affect and Bug Patterns to Improve Software Quality and Security,https://scholarworks.uno.edu/cgi/viewcontent.cgi?article=3922&context=td,String D,UNSURE,Related bug patterns but indirect relation,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
41,"False-Positive Bug Reports in Deep Learning Compilers: Stages, Root Causes, and Mitigation",https://doi.org/10.1145/3774889,String C,INCLUDE,Bug reports and mitigation analysis,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
42,Large Language Models are Few-shot Testers: Exploring LLM-based General Bug Reproduction,https://arxiv.org/abs/2209.11515,String A,INCLUDE,Bug reproduction using LLMs,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
44,Feedback-Driven Automated Whole Bug Report Reproduction for Android Apps,https://doi.org/10.1145/3650212.3680341,String A,INCLUDE,Bug report reproduction with GPT-4,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
45,Cupid: Leveraging ChatGPT for More Accurate Duplicate Bug Report Detection,https://arxiv.org/abs/2308.10022,String B,INCLUDE,Bug report analysis and duplicate detection,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
46,Can LLMs Demystify Bug Reports?,https://arxiv.org/abs/2310.06310,String A,INCLUDE,Understanding and reproducing bug reports with LLMs,INCLUDE,Full-text meets inclusion criteria and contributes evidence to bug-report/LLM/reproducibility-quality gap.
