ID,Title,Year,v1_decision,v1_reason
1,"CORE: Resolving Code Quality Issues using LLMs",2024,Include,"Relevant to code quality assessment"
2,"A Reproducibility and Generalizability Study of Large Language Models for Query Generation",2024,Exclude,"Not related to SE bug reports"
3,"Large Language Models for Software Engineering A Reproducibility Crisis",2025,Include,"Data on LLM reproducibility in SE"
4,"Evaluating the effectiveness of large language models in abstract screening",2024,Exclude,"Abstract screening for papers, not SE"
5,"A Systematic Survey and Critical Review on Evaluating Large Language Models",2024,Exclude,"General LLM survey, not focused on SE artifacts"
6,"Automatic Generation of Test Cases Based on Bug Reports a Feasibility Study",2023,Include,"Generates test cases directly from Bug Reports"
7,"Large Language Models for Departmental Expert Review Quality Scores",2026,Exclude,"Evaluates quality of academic papers"
8,"Automatic Generation of Bug Reports Using Large Language Models",2025,Include,"Automated Bug Report generation"
9,"A Critical Review of Large Language Model on Software Engineering",2024,Include,"Evaluates Program Repair via LLM"
10,"Large Language Models are not Fair Evaluators",2023,Exclude,"Study on bias in general NLP evaluation"
11,"Benchmarking Large Language Models for News Summarization",2023,Exclude,"News summarization, not SE"
12,"Benchmarking Large Language Models for News Summarization",2023,Exclude,"Duplicate of ID 11"
13,"Large Language Models are Few-shot Testers Exploring LLM-based General Bug Reproduction",2022,Include,"Bug reproduction"
14,"Evaluating Diverse Large Language Models for Automatic and General Bug Reproduction",2023,Include,"Bug reproduction with diverse LLMs"
15,"Prompting Is All You Need Automated Android Bug Replay with Large Language Models",2024,Include,"Automated Android bug replay"
16,"Towards a Human-in-the-Loop Framework for Reliable Patch Evaluation Using an LLM-as-a-Judge",2025,Include,"Patch evaluation"
17,"Automatic Analysis of App Reviews Using LLMs",2025,Exclude,"Analyzes App Reviews, not technical software Bug Reports"
18,"Is LLM a Reliable Reviewer A Comprehensive Evaluation of LLM on Automatic Paper Reviewing Tasks",2024,Exclude,"Scientific paper review"
19,"Automated Bug Detection and Program Repair Using Deep Learning A Comprehensive Review",2026,Include,"Comprehensive review on bug detection and repair"
20,"Software Vulnerability and Functionality Assessment using LLMs",2024,Include,"Vulnerability and functionality assessment"
21,"Calibration of Large Language Models on Code Summarization",2024,Exclude,"Code summarization"
22,"Can large language models provide useful feedback on research papers",2023,Exclude,"Feedback for scientific papers"
23,"Evaluating Large Language Models for Extracting Usability Issues from User Bug Reports",2025,Include,"Extracts issues from Bug Reports"
24,"Can LLMs Replace Manual Annotation of Software Engineering Artifacts",2024,Include,"Uses LLM for SE artifact annotation"
25,"Automatic Large Language Model Evaluation via Peer Review",2024,Exclude,"Peer review via LLM"
26,"AI-powered Code Review with LLMs Early Results",2024,Include,"Automated Code Review"
27,"LLM-based Test Case Generation for Edge Cases",2024,Include,"Test case generation"
28,"CodeReviewer: Pre-Training for Automating Code Review Activities",2023,Include,"Automated Code Review"
29,"An Empirical Study on LLM-based Program Repair",2024,Include,"Software program repair"
30,"Code Review Automation using GPT-4",2025,Include,"Code Review automation"
31,"Evaluating LLMs for Security Vulnerability Repair",2023,Include,"Security vulnerability repair"
32,"Prompt Engineering for Software Defect Prediction",2024,Include,"Software defect prediction"
33,"Understanding LLM Hallucinations in Software Engineering",2025,Include,"LLM hallucinations in SE"
34,"Can LLMs Write Better Bug Reports Than Humans?",2024,Include,"Bug Report quality"
35,"Using ChatGPT for Duplicate Bug Report Detection",2023,Include,"Duplicate Bug Report detection"
36,"A Survey on Automated Program Repair using Large Language Models",2024,Include,"Survey on automated program repair"
37,"Deep Learning vs LLMs for Code Review: An Empirical Study",2024,Include,"Code Review evaluation"
38,"Zero-shot Bug Localization with GPT-3.5",2023,Include,"Software bug localization"
39,"Enhancing Bug Report Summarization with LLMs",2025,Include,"Bug Report summarization"
40,"Evaluating the Effectiveness of Prompting in Code Review",2024,Include,"Prompting in Code Review"
41,"LLM-assisted Root Cause Analysis from Crash Reports",2024,Include,"Root cause analysis"
42,"Automating Software Testing using Open Source LLMs",2025,Include,"Automating software testing"
43,"Security Bug Fixing with LLM Agents",2024,Include,"Bug fixing with Agents"
44,"Evaluating the Robustness of LLMs on Bug Reporting",2023,Include,"Robustness of LLMs on Bug Reporting"
45,"A Comparative Analysis of Code Review Tools powered by LLMs",2025,Include,"Code Review tools"
46,"Using NLP and LLMs for Bug Report Categorization",2023,Include,"Bug Report categorization"
47,"Interactive Bug Reproduction with ChatGPT",2024,Include,"Interactive bug reproduction"
48,"LLM-driven Mutation Testing for Bug Detection",2025,Include,"Mutation testing"
49,"Code Summarization vs Bug Summarization using LLMs",2024,Include,"Bug summarization"
50,"Integrating ChatGPT into the Software Bug Triage Pipeline",2024,Include,"Bug triage"
