Id,Title,Authors,Year,Venue,Search_string,v1_decision,v1_reason,v2_decision,v2_reason,URL
1,A Comparative Study of Contemporary Learning Paradigms in Bug Report Priority Detection,"Yilmaz, Eyüp Halit; Toroslu, ?smail Hakki; Köksal, Ömer",2024,IEEE Access,A,INCLUDE,"Thỏa mãn IC-P, IC-I, IC-E — Nghiên cứu phân loại và phát hiện độ ưu tiên của Bug Report.",INCLUDE,"Thỏa mãn IC-P, IC-I — Tập trung vào phân loại cấu trúc văn bản và tối ưu hóa thứ tự ưu tiên của Bug Report.",https://ieeexplore.ieee.org/abstract/document/10654280/
5,A Methodological Framework for LLM-Based Mining of Software Repositories,"Martino, Vincenzo De; Castaño, Joel; Palomba, Fabio; Franch, Xavier; Martínez-Fernández, Silverio",2025,,A,UNSURE,"Khung khai phá dữ liệu bằng LLM chung, cần check Abstract xem thực nghiệm có dính tới dữ liệu Issue/Bug không.",EXCLUDE,"IC-E — Khung phương pháp luận khai phá kho lưu trữ mã nguồn chung, không tập trung sâu vào giải pháp xử lý Bug Report.",http://arxiv.org/abs/2508.02233
6,A Multi-Agent RAG Architecture with DPO Fine-Tuning for Automated Bug Report Generation,"Choi, Seojin; Yang, Geunseok",,Available at SSRN 5887029,A,INCLUDE,"Thỏa mãn IC-P, IC-I — Kiến trúc Agent tạo và tối ưu hóa tự động cấu trúc nội dung Bug Report.",INCLUDE,"Thỏa mãn IC-P, IC-I — Ứng dụng cấu trúc Multi-Agent phục vụ việc tự động chuẩn hóa và sinh văn bản Bug Report chất lượng cao.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5887029
10,A survey on the application of large language models in software engineering,"Salem, Nadia; Hudaib, Amjad; Al-Tarawneh, Khawla; Salem, Hamza; Tareef, Afaf; Salloum, Hadi; Mazzara, Manuel",2024,,A,INCLUDE,"Thỏa mãn IC-I — Bài tổng quan diện rộng về LLM trong SE, giữ lại làm nền tảng quét tài liệu.",EXCLUDE,"IC-E — Nghiên cứu mang tính tổng quan diện rộng về LLM trong SE, không giải quyết bài toán cấu trúc văn bản Bug Report cụ thể.",https://www.mathnet.ru/eng/crm1244
12,A11y-Bench: Can Language Models Resolve Accessibility Issues?,"Tschoner, Maximilian",2025,,A,UNSURE,"Đánh giá khả năng sửa lỗi tiếp cận của LLM, cần đọc Abstract check dữ liệu đầu vào.",EXCLUDE,"IC-E — Tập trung vào đánh giá khả năng giải quyết các vấn đề tiếp cận (Accessibility), ngoài phạm vi quản lý báo cáo lỗi văn bản.",https://repositum.tuwien.at/handle/20.500.12708/224566
14,"Advancing Bug Report Management: Graph-Based Modeling, Large Language Models, and Quality Improvement","Acharya, Jagrit",2025,,A,INCLUDE,"Thỏa mãn IC-P, IC-I — ""Trúng tủ"" mô hình hóa và cải thiện chất lượng quản lý Bug Report bằng LLM.",INCLUDE,"Thỏa mãn IC-P, IC-I — Nghiên cứu trực tiếp các mô hình cải tiến cấu trúc và nâng cao chất lượng quản lý dữ liệu Bug Report.",https://ucalgary.scholaris.ca/items/817eadb0-c905-4fea-ba30-24afde9fe1da
15,"Advancing intrinsic and non-intrinsic bug classification with NLP, machine learning, and few-shot prompt engineering","Bhandari, Pragya",2024,,A,UNSURE,"Phân loại bản chất bug bằng NLP/Prompting, cần check Abstract để phân loại chính xác.",INCLUDE,"Thỏa mãn IC-P, IC-I — Sử dụng NLP và Few-shot prompting phục vụ việc phân loại tính chất lỗi dựa trên nội dung văn bản báo cáo.",https://open.library.ubc.ca/soa/cIRcle/collections/ubctheses/24/items/1.0444146
16,"Advancing LLM-Based Issue Report Classification with Explained Few-Shot Learning, Intent Extraction, Ensemble, and Summarization","De Vito, Gabriele; Starace, Luigi Libero Lucio; Palomba, Fabio; Di Martino, Sergio; Ferrucci, Filomena",2026,ACM Transactions on Software Engineering and Methodology,A,INCLUDE,"Thỏa mãn IC-P, IC-I — Phân loại cấu trúc Issue Report sử dụng Few-Shot Learning với LLM.",INCLUDE,"Thỏa mãn IC-P, IC-I — Tối ưu hóa phân loại và ứng dụng kỹ thuật tóm tắt thông tin văn bản (Summarization) trong cấu trúc Issue Report.",https://dl.acm.org/doi/10.1145/3815577
17,Adversarial bug reports as a security risk in language model-based automated program repair,"Przymus, Piotr; Happe, Andreas; Cito, Jürgen",2025,arXiv preprint arXiv:2509.05372,A,INCLUDE,"Thỏa mãn IC-P, IC-I — Nghiên cứu về các Bug Report độc hại/nhiễu (Adversarial) tác động đến hệ thống sửa lỗi.",EXCLUDE,"EC-A — Tập trung vào lỗ hổng bảo mật trong kỹ thuật sửa lỗi chương trình tự động (Automated Program Repair), không thuộc phạm vi cấu trúc Bug Report.",https://arxiv.org/abs/2509.05372
18,AgentFL: Scaling LLM-based Fault Localization to Project-Level Context,"Qin, Yihao; Wang, Shangwen; Lou, Yiling; Dong, Jinhao; Wang, Kaixin; Li, Xiaoling; Mao, Xiaoguang",2025,,A,UNSURE,"Định vị vị trí lỗi (Fault Localization), cần quét Abstract xem có sử dụng text từ Bug Report để tìm file lỗi không.",EXCLUDE,EC-A — Nghiên cứu chuyên sâu về kỹ thuật định vị lỗi tự động (Fault Localization) trên mã nguồn hệ thống.,http://arxiv.org/abs/2403.16362
20,Agentic Software Issue Resolution with Large Language Models: A Survey,"Jiang, Zhonghao; Lo, David; Liu, Zhongxin",2025,,A,INCLUDE,"Thỏa mãn IC-P, IC-I — Tổng quan về việc sử dụng AI Agent để giải quyết các vấn đề liên quan đến Issue/Bug.",EXCLUDE,"IC-E — Bài tổng quan (Survey) về xử lý Issue bằng AI Agent nói chung, không đi sâu vào giải pháp tối ưu cấu trúc tài liệu lỗi văn bản.",http://arxiv.org/abs/2512.22256
