issue_id,project,url,title,description,comments,metadata_context
GH010,flutter/flutter,https://github.com/flutter/flutter/issues/164879,CONTEXT_LOST_WEBGL in Chrome in Linux,"Reported bug: CONTEXT_LOST_WEBGL in Chrome in Linux. Evidence fields seen during screening: Expected, actual, environment. Open the URL and copy the original issue body before manual annotation if more detail is needed.",May lack steps but good environment context,original_issue=#164879; source=GitHub; priority=Medium; candidate_id=10; selected_for_pilot=Yes; pilot_id=1; sampling_method=random; random_seed=3012026
GH011,flutter/flutter,https://github.com/flutter/flutter/issues/164842,DVTDeviceOperation: Encountered a build number issue,"Reported bug: DVTDeviceOperation: Encountered a build number issue. Evidence fields seen during screening: Upgrade context, expected, actual. Open the URL and copy the original issue body before manual annotation if more detail is needed.",No exact steps; useful borderline,original_issue=#164842; source=GitHub; priority=Medium; candidate_id=11; selected_for_pilot=Yes; pilot_id=2; sampling_method=random; random_seed=3012026
GH019,vercel/next.js,https://github.com/vercel/next.js/issues/94254,bug: Client-side navigation freezes,"Reported bug: bug: Client-side navigation freezes. Evidence fields seen during screening: Steps, result, current/expected. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Clear multi-step reproduction,original_issue=#94254; source=GitHub; priority=High; candidate_id=19; selected_for_pilot=Yes; pilot_id=3; sampling_method=random; random_seed=3012026
GH025,vercel/next.js,https://github.com/vercel/next.js/issues/66323,ReactRemoveProperties does not work as it was,"Reported bug: ReactRemoveProperties does not work as it was. Evidence fields seen during screening: Current vs expected, error output. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Config regression; check repro detail,original_issue=#66323; source=GitHub; priority=Medium; candidate_id=25; selected_for_pilot=Yes; pilot_id=4; sampling_method=random; random_seed=3012026
GH030,microsoft/vscode,https://github.com/microsoft/vscode/issues/50296,Broken rendering when editor.scrollBeyondLastLine set to false,"Reported bug: Broken rendering when editor.scrollBeyondLastLine set to false. Evidence fields seen during screening: VS Code version, OS, steps, verified label. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Strong classic bug report,original_issue=#50296; source=GitHub; priority=High; candidate_id=30; selected_for_pilot=Yes; pilot_id=5; sampling_method=random; random_seed=3012026
GH032,microsoft/vscode,https://github.com/microsoft/vscode/issues/219893,v1.91 does not launch on Catalina or Big Sur due to fatal error,"Reported bug: v1.91 does not launch on Catalina or Big Sur due to fatal error. Evidence fields seen during screening: Version, OS, steps, error message. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Clear environment and error,original_issue=#219893; source=GitHub; priority=High; candidate_id=32; selected_for_pilot=Yes; pilot_id=6; sampling_method=random; random_seed=3012026
GH033,microsoft/vscode,https://github.com/microsoft/vscode/issues/305639,VS Code update access denied error,"Reported bug: VS Code update access denied error. Evidence fields seen during screening: VS Code version, OS, steps. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Recent issue; check if spam/valid,original_issue=#305639; source=GitHub; priority=Medium; candidate_id=33; selected_for_pilot=Yes; pilot_id=7; sampling_method=random; random_seed=3012026
GH042,angular/angular,https://github.com/angular/angular/issues/10523,Dynamically creating a component through ComponentFactory issue,"Reported bug: Dynamically creating a component through ComponentFactory issue. Evidence fields seen during screening: Current behavior, expected behavior. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Older but clear current behavior,original_issue=#10523; source=GitHub; priority=Medium; candidate_id=42; selected_for_pilot=Yes; pilot_id=8; sampling_method=random; random_seed=3012026
GH043,angular/angular,https://github.com/angular/angular/issues/11245,Child component with FormGroup/FormControl issue,"Reported bug: Child component with FormGroup/FormControl issue. Evidence fields seen during screening: Reproduction, expected behavior. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Older Angular forms bug candidate,original_issue=#11245; source=GitHub; priority=Medium; candidate_id=43; selected_for_pilot=Yes; pilot_id=9; sampling_method=random; random_seed=3012026
GH049,nodejs/node,https://github.com/nodejs/node/issues/27489,Node does not completely uninstall itself on Windows,"Reported bug: Node does not completely uninstall itself on Windows. Evidence fields seen during screening: Platform, steps, expected, actual. Open the URL and copy the original issue body before manual annotation if more detail is needed.",Very clear steps and platform,original_issue=#27489; source=GitHub; priority=High; candidate_id=49; selected_for_pilot=Yes; pilot_id=10; sampling_method=random; random_seed=3012026
