issue_id,label_mr1,reason_mr1,label_mr2,reason_mr2,final_label,resolution_note
GH001,0,"Original GitHub issue uses the template but leaves steps/code/log/doctor fields as placeholders, so reproduction evidence is insufficient.",0,"The issue leaves the reproduction template mostly blank, with no usable steps, logs, code sample, or doctor output to verify the problem.",0,Agreement.
GH002,0,Original issue is almost only an unfilled Flutter template; expected/actual/logs are blank and steps are placeholders.,0,"The report mainly contains placeholder Flutter template text; actual result, expected result, logs, and actionable steps are not filled in.",0,Agreement.
GH003,0,"Original issue is an unfilled Flutter template with no concrete steps, expected/actual result, logs, or environment details.",0,"The body does not provide a concrete scenario, environment, expected output, actual output, or supporting evidence for reproduction.",0,Agreement.
GH004,0,"Only reports a MyApp-not-defined message; steps, expected/actual, logs, and reproducible code are missing or template placeholders.",0,"The report only mentions a MyApp undefined error, while the runnable sample, exact steps, logs, and expected behavior are not supplied.",0,Agreement.
GH005,1,"Provides concrete device/settings conditions, a sequence to trigger the UI issue, expected/actual behavior, and screenshots.",1,"The report describes the device/settings condition, how to trigger the interface problem, what should happen, what happens instead, and includes screenshots.",1,Agreement.
GH006,0,"Mentions Android 13 gallery not opening, but lacks app/plugin details, code, logs, and concrete reproduction steps beyond a vague scenario.",0,"The Android 13 gallery issue is described too generally and does not include enough plugin/app version data, logs, code, or repeatable actions.",0,Agreement.
GH007,1,"Provides upgrade context, execution command, detailed error stack/logs, version information, and Flutter doctor output.",1,"The report includes upgrade context, the command used, detailed failure output, version information, and Flutter doctor details, so it is reproducible.",1,Agreement.
GH008,1,"Includes a minimal Dart code sample, run step, actual exception stack trace, and environment/doctor output.",1,"A small Dart example, the command/run context, the exception trace, and environment output are included, giving enough reproduction information.",1,Agreement.
GH009,1,"Includes code sample, build error logs, expected/actual behavior, and Flutter doctor/environment information.",1,"The issue provides sample code together with build failure logs, expected versus actual behavior, and Flutter environment details.",1,Agreement.
GH010,1,"Gives a repeatable environment-based sequence, expected/actual behavior, Chrome/Debian versions, and Flutter doctor output.",1,"The reporter gives a clear environment-specific scenario with expected and actual results, browser/OS versions, and Flutter doctor information.",1,Agreement.
